timestamp,ShortTrend_CC,LongTrend_CC,last_BT,Before_BT,After_BT,ShortSlope_BT,BchStatus,last,id
1510564383,716134.3333,716264.2946,1224.3,1187.944261,1203.05025,3.642814306,0,716166,289
1510564284,715752.619,716143.6237,1198.8003,1187.944261,1198.8003,0,1,718170,290
1510564394,715869.0952,716152.9484,1224.3,1189.146763,1207.3002,4.371377173,0,715700,291
1510564404,716329.1429,716269.8151,1225.299297,1189.880122,1211.716699,5.242696684,1,715669,292
1510564413,716661.4286,716463.0495,1231.319736,1190.682599,1217.136605,5.459850631,0,715568,293
1510564424,716958.8571,716635.7462,1230,1194.340211,1222.336555,3.63021731,0,715330,294
1510564434,717067.6667,716776.2495,1224.3,1200.122798,1222.336555,4.303398295,1,715300,295
1510564443,715722.8571,716837.2237,1220.00005,1200.925275,1225.869847,-0.73763932,0,715268,296
1510564450,715617.9524,716892.8624,1216,1203.05025,1224.486514,-2.461586907,0,715227,297
1510564464,715437.1905,716987.1591,1210,1205.2585,1221.936631,-4.368532329,1,715379,298
1510564473,715377.5714,717112.5376,1220,1207.968453,1220.050008,-2.768572863,0,714879,299
1510564489,715376.0952,717207.0065,1214.087302,1210.568428,1217.397892,-1.630389759,0,714890,300
1510564493,715269.4762,717194.7785,1210,1212.693403,1215.014559,-1.306809855,1,715217,301
1510564505,715047.5714,717241.086,1215,1214.460049,1214.181217,-0.311791379,0,715872,302
1510564515,714914.9048,717216.1935,1215,1215.893357,1214.01455,0.16893424,0,716000,303
1510564525,714791.3333,717179.6022,1215,1216.826665,1214.847884,-0.493197284,-2,716000,304
1510564536,715200.2857,717164.6172,1210,1218.593307,1213.181217,-0.155328816,0,715420,305
1510564546,715680.1429,717153.4624,1210,1219.867224,1212.5,-0.428571429,0,715415,306
1510564552,715984.619,717113.7097,1210,1218.675557,1212.5,-1.285714286,-2,715585,307
1510564563,715900.0476,716976.3183,1204.516824,1220.025532,1210.752804,-1.926168046,0,715611,308
1510564574,715693.4286,716747.0065,1210,1219.250532,1209.919471,-1.184272256,0,715608,309
1510564584,715427.1905,716611.2946,1210,1218.392257,1209.086137,-0.156662181,-2,715627,310
1510564596,715507.0952,716374.4473,1215,1216.615613,1209.919471,0.870947895,0,715560,311
1510564606,715580.619,716218.0989,1220,1214.948946,1211.586137,2.327129399,0,715716,312
1510564616,715492,715998.8043,1230,1213.757279,1214.919471,4.640453757,1,716198,313
1510564624,715418.381,715864.929,1220.78,1212.46701,1217.63,3.397142855,0,716488,314
1510564636,715640.619,715829.5871,1220.902078,1211.96701,1219.447013,2.338582588,0,715603,315
1510564644,715747.7619,715791.5118,1229.8,1211.96701,1222.747013,1.928178125,1,716137,316
1510564654,716066.9048,715759.8645,1229.8,1211.550344,1225.21368,1.386345091,0,715641,317
1510564664,716320.8571,715730.6839,1230,1212.043069,1226.880346,1.027369199,0,715498,318
1510564674,716272.2381,715694.8258,1229,1213.709735,1226.71368,1.95410759,1,715236,319
1510564683,715903.1429,715389.0194,1230,1214.191402,1228.250346,1.236845983,0,715182,320
1510564694,716082.4286,715439.0925,1221.146271,1214.683242,1228.291045,-1.247675556,0,714421,321
1510564703,715764.4762,715493.7785,1230,1215.916575,1228.324379,-0.701748191,1,714276,322
